Article_ID,Title,Content_Snippet,Source,Date_Published,Label
1,Govt launches new health scheme,Official announcement by health ministry,Times of India,05-01-2025,Real
2,Actor spotted on Mars!,Viral post claims Bollywood star seen on Mars,Facebook,14-02-2025,Fake
3,RBI cuts repo rate by 0.25%,Central bank decision impacts loan rates,Economic Times,01-03-2025,Real
4,Drinking coffee cures cancer,Forwarded WhatsApp message with false claims,WhatsApp,20-01-2025,Fake
5,Record rainfall in Mumbai,IMD report confirms heavy downpour,The Hindu,22-07-2025,Real
6,Alien spacecraft found in Himalayas,Local villager claims UFO crash landed,YouTube Channel,10-04-2025,Fake
7,India wins cricket world cup,Match report with score details,ESPN,30-06-2025,Real
8,Eating garlic makes you invisible,Social media rumor spreads quickly,Twitter,05-02-2025,Fake
9,Stock markets hit record high,Sensex and Nifty cross all-time peak,Business Standard,12-05-2025,Real
10,Water turns into petrol in Rajasthan,Viral hoax video shared widely,WhatsApp,19-03-2025,Fake
11,ISRO launches new satellite,Mission successful to study climate,ISRO Website,25-04-2025,Real
12,Man turns into stone after eating food,Bizarre story circulates online,Facebook,11-06-2025,Fake
13,New education policy approved,Cabinet clears reforms in school system,NDTV,30-01-2025,Real
14,Dog speaks 5 languages,Video claims pet can talk fluently,TikTok,03-07-2025,Fake
15,COVID-25 vaccine rollout begins,Hospitals start administering vaccines,Times Now,01-08-2025,Real
16,Giant lizard spotted in Delhi Metro,Passenger shares edited image,Instagram,18-06-2025,Fake
17,Supreme Court passes landmark judgment,Detailed verdict on environment law,Indian Express,22-05-2025,Real
18,Man lives without food for 10 years,Claim goes viral without evidence,YouTube,28-02-2025,Fake
19,Sensex falls 500 points,Market correction due to inflation fears,Moneycontrol,17-03-2025,Real
20,Drinking salt water cures diabetes,False health tip shared online,WhatsApp,12-04-2025,Fake
21,Train speeds increased by 20%,Railways announce new schedule,Hindustan Times,07-07-2025,Real
22,Statue of Liberty moved to India,Social media hoax confuses people,Facebook,09-05-2025,Fake
23,Monsoon to arrive early this year,IMD forecast released,The Hindu,01-05-2025,Real
24,Eating chocolate makes you immortal,Fake research story spreads online,Twitter,11-08-2025,Fake
25,Prime Minister visits Japan,Official diplomatic visit coverage,DD News,15-07-2025,Real
26,Sun rises from the West today,Edited video misleads viewers,TikTok,07-04-2025,Fake
27,Farmers get loan waivers,Govt announces relief measures,Indian Express,25-06-2025,Real
28,Mobile phone explodes into car,Viral hoax scares users,WhatsApp,28-05-2025,Fake
29,New AI law introduced,Govt drafts rules for AI regulation,Business Line,20-07-2025,Real
30,Shark found in Ganga river,Fake photo circulates on social media,Instagram,09-06-2025,Fake
